timestamp,invoice_no,payment_mode,amount,status,notes
2026-04-01 23:05:02,,,,RUN STARTED,Sheet: C:/Users/sandi/OneDrive/Desktop/TATA SHIPMENTS_April - Copy.xlsx
2026-04-01 23:05:31,,,,❌ FATAL ERROR,"Locator.wait_for: Target page, context or browser has been closed
Call log:
  - waiting for locator(""label"").filter(has_text=""Invoice From Date"").first to be visible
"
